/-----------------------------------------
| State-action rewards from Q-Learning
\-----------------------------------------

(('next_waypoint', 'forward'), ('light', 'green'), ('oncoming', 'left'), ('left', 'forward'), ('right', 'forward'))
 -- forward : 0.00
 -- left : 0.44
 -- right : 0.00
 -- None : 0.00

(('next_waypoint', 'forward'), ('light', 'green'), ('oncoming', 'left'), ('left', None), ('right', 'right'))
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.44
 -- None : -0.51

(('next_waypoint', 'right'), ('light', 'red'), ('oncoming', 'right'), ('left', 'left'), ('right', None))
 -- forward : -0.98
 -- left : 0.00
 -- right : 0.00
 -- None : 0.41

(('next_waypoint', 'right'), ('light', 'green'), ('oncoming', 'forward'), ('left', 'left'), ('right', None))
 -- forward : -0.08
 -- left : 0.00
 -- right : 1.01
 -- None : 0.00

(('next_waypoint', 'left'), ('light', 'red'), ('oncoming', 'left'), ('left', 'right'), ('right', 'left'))
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.34
 -- None : 0.00

(('next_waypoint', 'forward'), ('light', 'green'), ('oncoming', None), ('left', 'left'), ('right', 'right'))
 -- forward : 0.00
 -- left : 0.60
 -- right : 0.00
 -- None : 0.00

(('next_waypoint', 'right'), ('light', 'red'), ('oncoming', 'forward'), ('left', 'forward'), ('right', 'right'))
 -- forward : 0.00
 -- left : 0.00
 -- right : 0.00
 -- None : -0.00

(('next_waypoint', 'forward'), ('light', 'green'), ('oncoming', None), ('left', 'left'), ('right', 'forward'))
 -- forward : 1.77
 -- left : 0.00
 -- right : 0.11
 -- None : -1.37

(('next_waypoint', 'right'), ('light', 'red'), ('oncoming', 'right'), ('left', None), ('right', 'left'))
 -- forward : -1.90
 -- left : -3.99
 -- right : 0.88
 -- None : -0.03

(('next_waypoint', 'left'), ('light', 'green'), ('oncoming', None), ('left', 'left'), ('right', None))
 -- forward : 0.02
 -- left : 1.92
 -- right : 0.20
 -- None : -0.50

(('next_waypoint', 'forward'), ('light', 'green'), ('oncoming', 'right'), ('left', 'left'), ('right', 'left'))
 -- forward : 0.45
 -- left : 0.00
 -- right : 0.00
 -- None : 0.00

(('next_waypoint', 'forward'), ('light', 'green'), ('oncoming', None), ('left', None), ('right', None))
 -- forward : 1.73
 -- left : 0.52
 -- right : 0.29
 -- None : -3.81

(('next_waypoint', 'right'), ('light', 'red'), ('oncoming', 'forward'), ('left', None), ('right', 'right'))
 -- forward : -1.05
 -- left : 0.00
 -- right : 1.11
 -- None : 0.00

(('next_waypoint', 'forward'), ('light', 'red'), ('oncoming', 'left'), ('left', 'right'), ('right', 'right'))
 -- forward : 0.00
 -- left : -0.95
 -- right : 0.00
 -- None : 0.00

(('next_waypoint', 'right'), ('light', 'green'), ('oncoming', 'right'), ('left', 'right'), ('right', 'forward'))
 -- forward : 0.00
 -- left : 0.00
